split,row,cluster,segment
train,0,0,New high spenders
train,1,0,New high spenders
train,2,2,Long-term high spenders
train,3,2,Long-term high spenders
train,4,3,New low spenders
train,5,3,New low spenders
train,6,1,Long-term low spenders
train,7,1,Long-term low spenders
train,8,1,Long-term low spenders
train,9,1,Long-term low spenders
train,10,2,Long-term high spenders
train,11,1,Long-term low spenders
train,12,2,Long-term high spenders
train,13,0,New high spenders
train,14,2,Long-term high spenders
train,15,1,Long-term low spenders
train,16,0,New high spenders
train,17,0,New high spenders
train,18,3,New low spenders
train,19,0,New high spenders
train,20,2,Long-term high spenders
train,21,3,New low spenders
train,22,3,New low spenders
train,23,2,Long-term high spenders
train,24,3,New low spenders
train,25,2,Long-term high spenders
train,26,0,New high spenders
train,27,0,New high spenders
train,28,2,Long-term high spenders
train,29,0,New high spenders
train,30,1,Long-term low spenders
train,31,0,New high spenders
train,32,0,New high spenders
train,33,1,Long-term low spenders
train,34,2,Long-term high spenders
train,35,0,New high spenders
train,36,0,New high spenders
train,37,3,New low spenders
train,38,2,Long-term high spenders
train,39,1,Long-term low spenders
train,40,3,New low spenders
train,41,0,New high spenders
train,42,1,Long-term low spenders
train,43,2,Long-term high spenders
train,44,2,Long-term high spenders
train,45,0,New high spenders
train,46,1,Long-term low spenders
train,47,3,New low spenders
train,48,0,New high spenders
train,49,3,New low spenders
train,50,1,Long-term low spenders
train,51,0,New high spenders
train,52,1,Long-term low spenders
train,53,0,New high spenders
train,54,2,Long-term high spenders
train,55,3,New low spenders
train,56,2,Long-term high spenders
train,57,0,New high spenders
train,58,0,New high spenders
train,59,2,Long-term high spenders
train,60,0,New high spenders
train,61,0,New high spenders
train,62,0,New high spenders
train,63,0,New high spenders
train,64,3,New low spenders
train,65,1,Long-term low spenders
train,66,3,New low spenders
train,67,0,New high spenders
train,68,1,Long-term low spenders
train,69,2,Long-term high spenders
train,70,1,Long-term low spenders
train,71,0,New high spenders
train,72,2,Long-term high spenders
train,73,1,Long-term low spenders
train,74,0,New high spenders
train,75,1,Long-term low spenders
train,76,3,New low spenders
train,77,1,Long-term low spenders
train,78,0,New high spenders
train,79,2,Long-term high spenders
train,80,2,Long-term high spenders
train,81,1,Long-term low spenders
train,82,2,Long-term high spenders
train,83,1,Long-term low spenders
train,84,2,Long-term high spenders
train,85,2,Long-term high spenders
train,86,0,New high spenders
train,87,1,Long-term low spenders
train,88,0,New high spenders
train,89,3,New low spenders
train,90,2,Long-term high spenders
train,91,0,New high spenders
train,92,3,New low spenders
train,93,2,Long-term high spenders
train,94,3,New low spenders
train,95,3,New low spenders
train,96,0,New high spenders
train,97,1,Long-term low spenders
train,98,1,Long-term low spenders
train,99,1,Long-term low spenders
train,100,2,Long-term high spenders
train,101,0,New high spenders
train,102,1,Long-term low spenders
train,103,3,New low spenders
train,104,0,New high spenders
train,105,2,Long-term high spenders
train,106,2,Long-term high spenders
train,107,2,Long-term high spenders
train,108,2,Long-term high spenders
train,109,3,New low spenders
train,110,1,Long-term low spenders
train,111,3,New low spenders
train,112,2,Long-term high spenders
train,113,3,New low spenders
train,114,0,New high spenders
train,115,1,Long-term low spenders
train,116,0,New high spenders
train,117,2,Long-term high spenders
train,118,3,New low spenders
train,119,1,Long-term low spenders
train,120,0,New high spenders
train,121,0,New high spenders
train,122,2,Long-term high spenders
train,123,2,Long-term high spenders
train,124,0,New high spenders
train,125,1,Long-term low spenders
train,126,0,New high spenders
train,127,3,New low spenders
train,128,0,New high spenders
train,129,3,New low spenders
train,130,0,New high spenders
train,131,0,New high spenders
train,132,0,New high spenders
train,133,1,Long-term low spenders
train,134,2,Long-term high spenders
train,135,2,Long-term high spenders
train,136,2,Long-term high spenders
train,137,3,New low spenders
train,138,0,New high spenders
train,139,1,Long-term low spenders
train,140,2,Long-term high spenders
train,141,1,Long-term low spenders
train,142,2,Long-term high spenders
train,143,0,New high spenders
train,144,3,New low spenders
train,145,3,New low spenders
train,146,2,Long-term high spenders
train,147,2,Long-term high spenders
train,148,3,New low spenders
train,149,0,New high spenders
train,150,0,New high spenders
train,151,3,New low spenders
train,152,2,Long-term high spenders
train,153,0,New high spenders
train,154,0,New high spenders
train,155,0,New high spenders
train,156,3,New low spenders
train,157,0,New high spenders
train,158,2,Long-term high spenders
train,159,3,New low spenders
train,160,2,Long-term high spenders
train,161,2,Long-term high spenders
train,162,3,New low spenders
train,163,2,Long-term high spenders
train,164,2,Long-term high spenders
train,165,0,New high spenders
train,166,3,New low spenders
train,167,2,Long-term high spenders
train,168,3,New low spenders
train,169,0,New high spenders
train,170,3,New low spenders
train,171,0,New high spenders
train,172,0,New high spenders
train,173,3,New low spenders
train,174,0,New high spenders
train,175,1,Long-term low spenders
train,176,2,Long-term high spenders
train,177,3,New low spenders
train,178,3,New low spenders
train,179,3,New low spenders
train,180,0,New high spenders
train,181,0,New high spenders
train,182,1,Long-term low spenders
train,183,1,Long-term low spenders
train,184,0,New high spenders
train,185,3,New low spenders
train,186,2,Long-term high spenders
train,187,2,Long-term high spenders
train,188,2,Long-term high spenders
train,189,0,New high spenders
train,190,0,New high spenders
train,191,2,Long-term high spenders
train,192,3,New low spenders
train,193,0,New high spenders
train,194,2,Long-term high spenders
train,195,0,New high spenders
train,196,2,Long-term high spenders
train,197,0,New high spenders
train,198,3,New low spenders
train,199,2,Long-term high spenders
train,200,3,New low spenders
train,201,1,Long-term low spenders
train,202,0,New high spenders
train,203,0,New high spenders
train,204,3,New low spenders
train,205,3,New low spenders
train,206,0,New high spenders
train,207,3,New low spenders
train,208,0,New high spenders
train,209,0,New high spenders
train,210,0,New high spenders
train,211,1,Long-term low spenders
train,212,0,New high spenders
train,213,0,New high spenders
train,214,1,Long-term low spenders
train,215,0,New high spenders
train,216,2,Long-term high spenders
train,217,1,Long-term low spenders
train,218,0,New high spenders
train,219,0,New high spenders
train,220,2,Long-term high spenders
train,221,3,New low spenders
train,222,3,New low spenders
train,223,2,Long-term high spenders
train,224,3,New low spenders
train,225,1,Long-term low spenders
train,226,0,New high spenders
train,227,2,Long-term high spenders
train,228,2,Long-term high spenders
train,229,0,New high spenders
train,230,3,New low spenders
train,231,0,New high spenders
train,232,0,New high spenders
train,233,3,New low spenders
train,234,0,New high spenders
train,235,0,New high spenders
train,236,3,New low spenders
train,237,1,Long-term low spenders
train,238,2,Long-term high spenders
train,239,0,New high spenders
train,240,0,New high spenders
train,241,3,New low spenders
train,242,3,New low spenders
train,243,0,New high spenders
train,244,2,Long-term high spenders
train,245,1,Long-term low spenders
train,246,0,New high spenders
train,247,0,New high spenders
train,248,0,New high spenders
train,249,1,Long-term low spenders
train,250,0,New high spenders
train,251,1,Long-term low spenders
train,252,3,New low spenders
train,253,0,New high spenders
train,254,3,New low spenders
train,255,0,New high spenders
train,256,3,New low spenders
train,257,3,New low spenders
train,258,2,Long-term high spenders
train,259,0,New high spenders
train,260,1,Long-term low spenders
train,261,2,Long-term high spenders
train,262,1,Long-term low spenders
train,263,3,New low spenders
train,264,3,New low spenders
train,265,2,Long-term high spenders
train,266,3,New low spenders
train,267,0,New high spenders
train,268,2,Long-term high spenders
train,269,2,Long-term high spenders
train,270,0,New high spenders
train,271,3,New low spenders
train,272,2,Long-term high spenders
train,273,0,New high spenders
train,274,0,New high spenders
train,275,2,Long-term high spenders
train,276,0,New high spenders
train,277,1,Long-term low spenders
train,278,2,Long-term high spenders
train,279,3,New low spenders
train,280,0,New high spenders
train,281,0,New high spenders
train,282,3,New low spenders
train,283,3,New low spenders
train,284,2,Long-term high spenders
train,285,2,Long-term high spenders
train,286,1,Long-term low spenders
train,287,2,Long-term high spenders
train,288,2,Long-term high spenders
train,289,3,New low spenders
train,290,2,Long-term high spenders
